product_id,product_name,category,price
1,Open-architected logistical open system,Clothing,17.38
2,Fully-configurable tangible definition,Sports,126.22
3,Innovative systemic artificial intelligence,Home & Kitchen,369.55
4,Streamlined solution-oriented task-force,Clothing,297.29
5,Automated background initiative,Electronics,19.75
6,Multi-tiered homogeneous neural-net,Beauty,120.17
7,Phased analyzing productivity,Electronics,282.82
8,Advanced tangible concept,Toys,114.12
9,Configurable modular Internet solution,Sports,405.67
10,Stand-alone zero tolerance groupware,Electronics,380.61
11,Re-contextualized bandwidth-monitored moderator,Home & Kitchen,350.58
12,Balanced discrete data-warehouse,Books,142.55
13,Team-oriented non-volatile leverage,Beauty,478.82
14,Future-proofed 6thgeneration archive,Books,55.59
15,Synergized even-keeled moratorium,Toys,52.87
16,Re-contextualized stable alliance,Books,303.84
17,Enhanced foreground adapter,Electronics,366.22
18,Expanded optimizing circuit,Clothing,486.69
19,Versatile transitional infrastructure,Toys,44.01
20,Compatible exuding complexity,Sports,415.56
21,Re-contextualized disintermediate open system,Books,290.79
22,Networked systematic moratorium,Clothing,27.68
23,Managed human-resource system engine,Beauty,387.67
24,User-centric client-driven utilization,Clothing,428.38
25,Team-oriented uniform artificial intelligence,Clothing,193.16
26,Profit-focused value-added hardware,Groceries,319.66
27,Business-focused bandwidth-monitored Internet solution,Books,85.51
28,Focused asynchronous Graphical User Interface,Books,108.71
29,Robust zero administration pricing structure,Sports,352.4
30,Right-sized hybrid time-frame,Clothing,306.52
31,Inverse 4thgeneration productivity,Home & Kitchen,269.4
32,Future-proofed zero tolerance knowledge user,Beauty,85.88
33,Pre-emptive discrete help-desk,Toys,138.62
34,Reactive homogeneous Internet solution,Beauty,343.88
35,Enterprise-wide systemic paradigm,Electronics,118.38
36,Switchable homogeneous artificial intelligence,Electronics,403.5
37,Visionary regional frame,Toys,137.53
38,Fully-configurable transitional archive,Beauty,457.0
39,Configurable encompassing collaboration,Books,110.25
40,Multi-tiered transitional toolset,Groceries,200.84
41,Sharable coherent support,Groceries,75.72
42,Networked foreground hierarchy,Home & Kitchen,127.08
43,Customer-focused background ability,Sports,374.77
44,Integrated leadingedge hierarchy,Toys,449.42
45,Virtual encompassing benchmark,Toys,184.19
46,De-engineered background contingency,Home & Kitchen,257.22
47,Optional local open architecture,Clothing,379.11
48,Realigned multimedia installation,Clothing,80.66
49,Customer-focused 4thgeneration array,Home & Kitchen,397.08
50,Multi-channeled neutral array,Toys,300.22
